-0.202546,09K95A
-0.438076,0VM1CI
-7.42677,1RGWDX
11.7787,1T56G4
3.73892,26QQrO
5.44178,4XSG4Y
5.20524,5MKWBH
-4.41179,6LVPX8
-13.7424,9XELA5
-5.91519,9XNMJT
-4.00651,DLODDN
0.27619,DZVZH0
5.17289,EPJUNL
-9.38181,EUQG8X
-2.73204,F80LGF
7.93918,F9HJUU
-3.49998,FMFSCB
-8.55905,G7E225
13.0929,H6CSMA
11.1605,I5N225
10.5165,J1O0BL
4.98887,J3UYDR
2.69561,JDWAOR
-4.11052,LYDUBY
3.96988,MKBDBY
1.34511,N5IZ3L
-4.36744,NDBDKD
6.70581,O3VQFQ
-11.864,QBC0SD
-5.67902,T80OF8
-2.46015,U6GTOL
0.0102102,UMKISW
-4.74666,VSTPH2
0.367249,W5FDMV
14.385,XAD1I4
2.24673,XXN4TH
-8.36113,XYBF9C
-10.9548,Y45ETC
0.355828,YP7H46
13.7051,ZIBR7F
-10.0752,ZP6YP4
