14.5826,-3.61729,09K95A
1.79342,9.20217,0VM1CI
-4.81308,2.6356,1RGWDX
8.55748,-5.74857,1T56G4
-22.8191,5.69183,26QQrO
28.8829,-3.4911,4XSG4Y
7.62187,2.58592,5MKWBH
-14.8608,-18.8357,6LVPX8
6.86727,-1.32551,9XELA5
9.67462,-8.75189,9XNMJT
-2.65241,3.21699,DLODDN
-18.692,0.239721,DZVZH0
-11.7792,1.77929,EPJUNL
-16.8544,10.6426,EUQG8X
-13.0712,11.9918,F80LGF
-1.51482,4.75393,F9HJUU
-8.11251,-9.10262,FMFSCB
-11.5073,11.9007,G7E225
23.0333,-36.4449,H6CSMA
1.15947,-3.59454,I5N225
5.91398,-4.10306,J1O0BL
-8.87008,4.7862,J3UYDR
11.2032,-18.231,JDWAOR
-18.2141,4.01134,LYDUBY
12.9727,-11.168,MKBDBY
-1.4106,5.48454,N5IZ3L
0.211679,-0.0779281,NDBDKD
8.45796,2.76895,O3VQFQ
-24.6973,6.06918,QBC0SD
-4.30472,12.9184,T80OF8
-4.36787,-6.34243,U6GTOL
-0.422711,-2.5054,UMKISW
-1.99756,15.167,VSTPH2
0.796908,15.9982,W5FDMV
20.3771,-1.82196,XAD1I4
-4.77826,-6.70448,XXN4TH
4.15183,3.73532,XYBF9C
12.3334,-2.78538,Y45ETC
-13.5456,6.91569,YP7H46
16.1679,-10.7644,ZIBR7F
-2.94025,3.81923,ZP6YP4
